Fecha,SKU_1,SKU_2,SKU_3,SKU_4,SKU_5,SKU_6,SKU_7,SKU_8,SKU_9,SKU_10,SKU_11,SKU_12,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_20,SKU_21,SKU_22,SKU_23,SKU_24,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_40,SKU_41,SKU_42,SKU_43,SKU_44,SKU_45,SKU_46
2019-09-01,5349,2487,1800,3757,3439,3106,268,507,843,2005,1390,14378,1502,1198,685,1016,2970,959,2816,4212,1543,1920,2632,2399,4080,9455,18862,837,1431,1974,23361,1664,666,2663,3481,10396,3734,3466,1246,2647,3499,1394,6165,1836,1356,374
2019-10-01,6851,2369,1380,3687,3244,3034,280,395,978,1899,1094,11707,1458,1358,763,911,2743,1080,2405,3661,1590,1580,2669,2064,3754,8154,21069,715,1405,2627,20498,1727,618,2446,3717,9617,3705,4488,1151,2210,4031,1671,6795,1685,1265,443
2019-11-01,5662,1947,1691,4074,2665,3903,267,516,782,1994,1038,14690,1486,1278,814,950,3048,1123,2965,3431,1530,1702,3039,2205,4005,9869,19902,876,1640,1814,21954,1924,690,2375,3281,8982,3335,4298,1311,2510,3920,1098,5386,1669,1158,493
2019-12-01,6280,3049,1590,4191,3105,4469,243,485,953,1875,1165,15028,1182,1437,938,1064,3000,1149,2901,3729,1607,1613,2663,2188,3978,8851,26091,821,1319,2317,26353,1758,733,1961,3650,12426,4458,4016,1221,2777,3842,1558,6738,2010,1272,526
2020-01-01,5785,2033,1616,3819,3176,4014,256,508,951,2288,1089,16356,1695,1353,896,1223,2960,1158,2660,4335,1792,1812,3035,2597,3852,9351,23439,898,1557,2560,23337,1887,847,2188,4471,12843,4142,4484,1427,2476,3996,2023,8091,1620,1586,503
2020-02-01,6803,2668,1230,4705,4067,4791,345,558,904,2320,1407,16116,1665,1758,881,1334,3738,1289,2687,4157,1506,2122,3556,2916,4228,10837,27911,892,1790,2575,27929,2137,678,2972,4197,10139,4339,4408,1416,2170,3767,1465,7895,2208,1338,555
2020-03-01,8821,3105,1869,4515,3752,4599,302,580,1119,2403,1370,16651,1796,1389,965,1459,3565,1392,3227,3826,2086,2434,2404,2327,3910,10537,26477,898,1644,2346,23444,1923,716,2532,4701,12288,4209,3831,1505,3435,4482,1790,8501,1684,1501,515
2020-04-01,7950,2486,1954,4748,3461,4104,305,704,1017,2557,1568,15104,1665,1484,874,1462,3184,1158,3149,4550,1908,2016,3193,2784,5265,11468,26781,997,1964,2747,23845,2042,770,2418,4264,9720,4378,5521,1610,3493,4708,1779,7536,1979,1291,532
2020-05-01,8121,2783,1823,4059,3252,4514,375,657,1114,2328,1406,18122,1781,1682,845,1178,3406,1416,3430,4214,1974,1997,3057,2653,4641,8884,24251,993,1762,2755,24194,2183,804,2684,4591,12309,4261,4435,1279,3014,4108,1700,8400,1792,1556,560
2020-06-01,7075,2624,1646,4359,4638,4668,304,497,1020,1743,1460,16553,1537,1406,1001,1449,3600,1312,2704,4255,1573,2032,3251,2614,4452,11349,19427,887,1761,2435,21376,2218,752,2705,3621,11721,4144,5010,1297,2907,3649,1667,6564,2159,1506,529
2020-07-01,6685,2745,1859,4304,2678,3869,242,589,1124,2037,1379,14080,1946,1341,990,979,4084,1251,3151,4022,1727,1863,3044,2693,4522,11015,20743,1039,1571,2576,24118,1962,753,2605,3656,10357,3463,3419,1249,3078,5149,1494,7886,1901,1393,466
2020-08-01,5916,2780,1416,4074,3277,4457,276,512,1009,1768,1230,14142,1543,1440,782,1089,3288,926,2443,3238,1932,1680,2970,2896,4263,9035,22505,883,1536,2418,24221,2098,790,2379,3148,11057,4549,4497,1140,2749,4217,1542,7108,1849,1456,403
2020-09-01,5455,2470,1679,4081,3757,4101,231,483,844,2219,1297,12956,1216,1362,919,1151,3322,913,2493,4258,1626,1570,2643,2777,4298,9459,23450,803,1548,2236,23085,1940,531,2455,3511,10542,4048,4434,1343,2699,3898,1409,6841,1743,1193,431
2020-10-01,6618,2793,1392,3518,2992,3735,251,492,905,2152,1264,13640,1275,1196,789,1076,2103,1129,3028,4148,1581,1910,3174,2880,4298,9356,20725,864,1335,2162,21367,1961,691,2261,3203,10258,3837,4273,1321,2639,3604,1117,6757,1852,1318,467
2020-11-01,7357,3066,1725,3751,3078,3834,271,442,957,1923,1483,15862,1413,1199,758,1020,3419,1405,2564,3057,1438,1820,2884,2399,4796,7862,18010,960,1338,2867,21745,1888,662,2792,4222,11599,4127,4276,1336,3078,4488,1624,5151,1706,1211,502
2020-12-01,6678,2788,1762,3585,3501,4705,306,528,874,1926,1332,12276,1452,1394,793,1339,2645,1292,2966,3915,1633,2004,2549,2434,3729,9221,22336,791,1183,2586,21999,2005,637,2422,4264,11161,4031,4820,1518,2682,4515,1676,7107,1619,1421,482
2021-01-01,6157,2423,1910,4040,3554,4682,357,537,987,2513,1381,18042,1705,1347,888,964,3666,1197,3210,4620,1714,2340,2338,2497,3642,9655,27285,902,1599,2337,24044,2120,779,2460,4582,11954,4024,4805,1322,2867,4223,1755,5542,1923,1415,461
2021-02-01,6750,2903,2071,3621,3763,4482,318,548,996,2159,1480,13988,1809,1694,947,1159,3803,1272,2710,4171,1701,2288,3478,2396,4741,11164,24454,1042,1560,2109,23549,1929,952,2627,4227,14982,3563,4630,1156,3425,4165,1658,7600,1872,1474,529
2021-03-01,7457,3377,2004,4703,3821,5231,343,642,939,2479,1376,19114,1593,1534,814,1217,4167,1042,2736,4957,2139,1708,3385,2615,4746,12088,24164,1099,1740,3029,22907,2163,863,2512,4234,9851,4565,4564,1771,3516,5566,1742,6990,2040,1458,529
2021-04-01,7739,3153,1904,4409,4193,4647,345,691,1068,2374,1368,17606,1495,1552,1017,1199,3518,1283,2860,4389,1850,2038,3085,2668,5120,11721,23489,1036,1837,3118,28387,2199,924,2773,4002,11845,4563,5129,1551,3447,3867,2192,7489,2200,1367,500
2021-05-01,8093,2761,1948,5478,3741,4897,316,611,1103,2098,1525,16500,1844,1391,940,1449,3983,1353,3609,4819,2214,2254,3612,2908,4944,12261,22921,1019,1605,2142,23290,1811,931,2359,4516,10007,4486,4750,1305,3378,4512,1923,8064,2367,1325,664
2021-06-01,7291,2990,2242,4701,3299,4488,336,597,1078,2345,1616,19474,1734,1556,1036,1249,3393,1268,3264,4069,1830,2316,3241,3402,4927,11072,25408,1149,1640,2668,26498,2356,929,2465,4241,12915,4710,4772,1411,3190,4663,1786,7734,1806,1629,623
2021-07-01,8053,2549,1792,3744,3849,4613,283,603,950,2477,1265,14699,1448,1613,754,1197,3545,1193,3217,4572,1713,1985,3086,2458,4069,9482,23665,858,1420,2511,25292,2072,811,2116,4280,11152,4059,4432,1305,3278,3771,1699,7519,2212,1320,487
2021-08-01,8334,2677,1659,4343,3464,3995,270,537,1015,2228,1378,15629,1518,1489,927,1251,2822,1043,2940,4003,1651,2436,3296,2358,3872,10222,26414,835,1837,2700,22736,2075,813,2897,4395,10877,3298,3912,1235,2972,4118,1600,7997,1745,1525,517
2021-09-01,6665,2743,1668,4464,3118,4694,297,610,968,1624,1357,14193,1508,1202,747,938,3427,1075,2468,3691,1715,2306,2874,2550,4330,7029,23212,912,1377,2743,22733,2020,685,2716,3803,10715,3666,4566,1238,3313,3490,1520,5847,1801,1318,419
2021-10-01,5774,2299,1761,3369,3057,4990,284,540,971,2026,1087,15636,1249,962,745,1169,3307,804,2767,3619,1508,1989,3334,2206,3738,9949,20377,876,1330,2110,25179,1611,646,2368,3613,9654,4397,4219,1100,2195,4040,1600,6022,1515,1277,475
2021-11-01,6649,2415,1325,3461,3257,4670,265,468,1057,2037,1416,15426,1659,1433,679,1236,3375,951,2464,4385,1654,1851,2872,2368,4538,9723,22491,826,1302,2553,19799,2197,712,2156,3880,9889,4321,5109,1065,2830,3711,1347,7307,1799,1119,465
2021-12-01,7308,2124,1825,3983,3082,3747,306,674,1065,2149,1329,15024,1601,1284,999,1053,2865,1308,3096,4455,1667,1963,3138,2745,3772,10521,23768,801,1461,2311,24469,1829,901,2219,4135,12551,4584,4076,1327,2885,4429,1657,6516,1658,1506,485
2022-01-01,6245,2851,1801,3735,3887,4138,332,533,961,2044,1485,16482,1574,1518,1005,1213,3821,1122,2948,4271,1688,2075,3107,2560,4391,12227,26373,895,1713,2652,25332,2164,658,2516,3281,11273,4487,5003,1413,2891,4421,1734,6986,1543,1359,533
